Key,SymbolName,EnkaID,filename,ascensionMaterial,en,chs,cht,jp,kr,fr,it,ru,de,vi
$asset.weapon:DullBlade,DullBlade,11101,UI_EquipIcon_Sword_Blunt,weaponDecarabian,Dull Blade,无锋剑,無鋒劍,無鋒の剣,무인검,Épée émoussée,Lama smussata,Тупой меч,Stumpfes Schwert,Vô Phong Kiếm
$asset.weapon:SilverSword,SilverSword,11201,UI_EquipIcon_Sword_Silver,weaponDecarabian,Silver Sword,银剑,銀劍,銀の剣,실버 소드,Épée en argent,Spada d'argento,Серебряный меч,Silberschwert,Kiếm Bạc
$asset.weapon:CoolSteel,CoolSteel,11301,UI_EquipIcon_Sword_Steel,weaponDecarabian,Cool Steel,冷刃,冷刃,冷刃,차가운 칼날,Lame froide,Lama fredda,Холодное лезвие,Kühle Klinge,Lãnh Nhẫn
$asset.weapon:HarbingerOfDawn,HarbingerOfDawn,11302,UI_EquipIcon_Sword_Dawn,weaponBorealWolf,Harbinger of Dawn,黎明神剑,黎明神劍,黎明の神剣,여명신검,Messager de l'Aube,Messaggera dell'alba,Предвестник зари,Schwert der Dämmerung,Thần Kiếm Lê Minh
$asset.weapon:TravelersHandySword,TravelersHandySword,11303,UI_EquipIcon_Sword_Traveler,weaponGladiator,Traveler's Handy Sword,旅行剑,旅行劍,旅道の剣,여행자의 검,Épée du voyageur,Spada del viaggiatore,Меч путешественника,Reiseschwert,Kiếm Lữ Hành
$asset.weapon:DarkIronSword,DarkIronSword,11304,UI_EquipIcon_Sword_Darker,weaponGuyun,Dark Iron Sword,暗铁剑,暗鐵劍,暗鉄剣,암철검,Épée en fer noir,Spada di ferro scuro,Тёмный железный меч,Dunkles Eisenschwert,Kiếm Sắt Đen
$asset.weapon:FilletBlade,FilletBlade,11305,UI_EquipIcon_Sword_Sashimi,weaponElixir,Fillet Blade,吃虎鱼刀,吃虎魚刀,チ虎魚の刀,흘호 생선회칼,Couteau à filets,Lama affilata,Филейный нож,Filetiermesser,Đao Săn Cá
$asset.weapon:SkyriderSword,SkyriderSword,11306,UI_EquipIcon_Sword_Mitsurugi,weaponAerosiderite,Skyrider Sword,飞天御剑,飛天御劍,飛天御剣,비천어검,Épée céleste,Spada del Cavalcacieli,Меч небесного всадника,Himmelsflug-Schwert,Kiếm Phi Thiên
$asset.weapon:FavoniusSword,FavoniusSword,11401,UI_EquipIcon_Sword_Zephyrus,weaponDecarabian,Favonius Sword,西风剑,西風劍,西風剣,페보니우스 검,Épée de Favonius,Spada di Favonius,Меч Фавония,Favonius-Schwert,Tây Phong Kiếm
$asset.weapon:TheFlute,TheFlute,11402,UI_EquipIcon_Sword_Troupe,weaponBorealWolf,The Flute,笛剑,笛劍,笛の剣,피리검,Flûte,Flauto,Меч-флейта,Flöte,Kiếm Sáo
$asset.weapon:SacrificialSword,SacrificialSword,11403,UI_EquipIcon_Sword_Fossil,weaponGladiator,Sacrificial Sword,祭礼剑,祭禮劍,祭礼の剣,제례검,Épée rituelle,Spada sacrificale,Церемониальный меч,Opferschwert,Kiếm Tế Lễ
$asset.weapon:RoyalLongsword,RoyalLongsword,11404,UI_EquipIcon_Sword_Theocrat,weaponDecarabian,Royal Longsword,宗室长剑,宗室長劍,旧貴族長剣,왕실의 장검,Épée longue royale,Spada lunga reale,Меч аристократов,Königliches Langschwert,Trường Kiếm Tông Thất
$asset.weapon:LionsRoar,LionsRoar,11405,UI_EquipIcon_Sword_Rockkiller,weaponGuyun,Lion's Roar,匣里龙吟,匣裡龍吟,匣中龍吟,용의 포효,Rugissement du Lion,Ruggito del leone,Драконий рык,Drachenschrei,Tiếng Hét Của Rồng
$asset.weapon:PrototypeRancour,PrototypeRancour,11406,UI_EquipIcon_Sword_Proto,weaponElixir,Prototype Rancour,试作斩岩,試作斬岩,斬岩·試作,참암 프로토타입,Tailleur de pierre (prototype),Prototipo del rancore,Прототип: Злоба,Steinschneider-Prototyp,Mẫu Trảm Nham
$asset.weapon:IronSting,IronSting,11407,UI_EquipIcon_Sword_Exotic,weaponAerosiderite,Iron Sting,铁蜂刺,鐵蜂刺,鉄蜂の刺し,강철 벌침,Piqûre de fer,Spina di ferro,Стальное жало,Eisenstich,Thiết Phong Kích
$asset.weapon:BlackcliffLongsword,BlackcliffLongsword,11408,UI_EquipIcon_Sword_Blackrock,weaponGuyun,Blackcliff Longsword,黑岩长剑,黑岩長劍,黒岩の長剣,흑암 장검,Épée longue de Rochenoire,Spada lunga di Rupenera,Черногорский длинный меч,Schwarzstein-Langschwert,Hắc Nham Trường Kiếm
$asset.weapon:TheBlackSword,TheBlackSword,11409,UI_EquipIcon_Sword_Bloodstained,weaponBorealWolf,The Black Sword,黑剑,黑劍,黒剣,칠흑검,Épée noire,Spada nera,Чёрный меч,Schwarzes Schwert,Kiếm Đen
$asset.weapon:TheAlleyFlash,TheAlleyFlash,11410,UI_EquipIcon_Sword_Outlaw,weaponDecarabian,The Alley Flash,暗巷闪光,暗巷閃光,ダークアレイの閃光,뒷골목의 섬광,Éclair des impasses,Luce nei vicoli,Вспышка во тьме,Gassenleuchte,Tia Sáng Nơi Hẻm Tối
$asset.weapon:SwordOfDescension,SwordOfDescension,11412,UI_EquipIcon_Sword_Psalmus,weaponBorealWolf,Sword of Descension,降临之剑,降臨之劍,降臨の剣,강림의 검,Épée de la descente,Spada della discensione,Меч нисхождения,Schwert der Niederkunft,Kiếm Giáng Lâm
$asset.weapon:FesteringDesire,FesteringDesire,11413,UI_EquipIcon_Sword_Magnum,weaponGladiator,Festering Desire,腐殖之剑,腐殖之劍,腐植の剣,부식의 검,Croc suppurant,Desiderio purulento,Осквернённое желание,Schwert der Verderbnis,Răng Nanh Rỉ Sét
$asset.weapon:AmenomaKageuchi,AmenomaKageuchi,11414,UI_EquipIcon_Sword_Bakufu,weaponDistantSea,Amenoma Kageuchi,天目影打刀,天目影打刀,天目影打,아메노마 카게우치가타나,Lame kageuchi d'Amenoma,Spada delle ombre,Амэнома Кагэути,Amenoma Kageuchi,Đoản Đao Amenoma
$asset.weapon:CinnabarSpindle,CinnabarSpindle,11415,UI_EquipIcon_Sword_Opus,weaponDecarabian,Cinnabar Spindle,辰砂之纺锤,辰砂之紡錘,シナバースピンドル,진사의 방추,Fuseau de cinabre,Spada cinabrica,Киноварное веретено,Zinnoberspindel,Con Thoi Chu Sa
$asset.weapon:KagotsurubeIsshin,KagotsurubeIsshin,11416,UI_EquipIcon_Sword_Youtou,weaponKijinMask,Kagotsurube Isshin,笼钓瓶一心,籠釣瓶一心,籠釣瓶一心,카고츠루베 잇신,Kagotsurube Isshin,Kagotsurube Isshin,Кагоцурубэ Иссин,Kagotsurube Isshin,Kagotsurube Isshin
$asset.weapon:SapwoodBlade,SapwoodBlade,11417,UI_EquipIcon_Sword_Arakalari,weaponTalisman,Sapwood Blade,原木刀,原木刀,原木刀,원목 검,Lame d'aubier,Lama di alburno,Деревянный клинок,Stammklinge,Kiếm Gỗ
$asset.weapon:XiphosMoonlight,XiphosMoonlight,11418,UI_EquipIcon_Sword_Pleroma,weaponTalisman,Xiphos' Moonlight,西福斯的月光,西福斯的月光,サイフォスの月明かり,크시포스의 달빛,Clair de lune de Xiphos,Chiarore di Xiphos,Лунное сияние ксифоса,Mondlicht von Xiphos,Ánh Trăng Xiphos
$asset.weapon:ToukabouShigure,ToukabouShigure,11422,UI_EquipIcon_Sword_Kasabouzu,weaponNarukami,Toukabou Shigure,东花坊时雨,東花坊時雨,東花坊時雨,꽃잎비,Pluie florale,Toukabou Shigure,Токабо сигурэ,Toukabou Shigure,Toukabou Shigure
$asset.weapon:WolfFang,WolfFang,11424,UI_EquipIcon_Sword_Boreas,weaponDecarabian,Wolf-Fang,狼牙,狼牙,狼牙,늑대 송곳니,Croc de loup,Zanna di lupo,Волчий клык,Wolfszahn,Nanh Sói
$asset.weapon:FinaleOfTheDeep,FinaleOfTheDeep,11425,UI_EquipIcon_Sword_Vorpal,weaponDewdrop,Finale of the Deep,海渊终曲,海淵終曲,海淵のフィナーレ,해연의 피날레,Final des profondeurs,Finale degli abissi,Грандиозный финал глубин,Finale in der Tiefe,Nhạc Khúc Biển Sâu
$asset.weapon:FleuveCendreFerryman,FleuveCendreFerryman,11426,UI_EquipIcon_Sword_Machination,weaponAncientChord,Fleuve Cendre Ferryman,灰河渡手,灰河渡手,サーンドルの渡し守,잿빛의 강 뱃사공,Passeur du Fleuve cendré,Traghettatore del Fleuve Cendre,Перевозчик Флёв Сандр,Schiffer des Fleuve Cendré,Ống Đồng Fleuve Cendre
$asset.weapon:TheDockhandsAssistant,TheDockhandsAssistant,11427,UI_EquipIcon_Sword_Mechanic,weaponDewdrop,The Dockhand's Assistant,船坞长剑,船塢長劍,船渠剣,뱃도랑 장검,L'assistant du docker,Aiutante del porto,Верфь,Werftklinge,Kiếm Bến Tàu
$asset.weapon:SwordOfNarzissenkreuz,SwordOfNarzissenkreuz,11428,UI_EquipIcon_Sword_Purewill,weaponAncientChord,Sword of Narzissenkreuz,水仙十字之剑,水仙十字之劍,水仙十字の剣,수선화 십자 성검,Lame du Narzissenkreuz,Spada di Narzissenkreuz,Меч Нарциссенкрейца,Schwert des Narzissenkreuzes,Lưỡi Kiếm Narzissenkreuz
$asset.weapon:FluteOfEzpitzal,FluteOfEzpitzal,11431,UI_EquipIcon_Sword_Isikhulu,weaponSacrificialHeart,Flute of Ezpitzal,息燧之笛,息燧之笛,エズピツァルの笛,에스피찰의 피리,Flûte d'ezpitzal,Flauto di Ezpitzal,Флейта Эспицаль,Ezpitzal-Flöte,Sáo Ezpitzal
$asset.weapon:AquilaFavonia,AquilaFavonia,11501,UI_EquipIcon_Sword_Falcon,weaponDecarabian,Aquila Favonia,风鹰剑,風鷹劍,風鷹剣,매의 검,Épée du faucon,Aquila Favonia,Меч Сокола,Windfalke,Phong Ưng Kiếm
$asset.weapon:SkywardBlade,SkywardBlade,11502,UI_EquipIcon_Sword_Dvalin,weaponBorealWolf,Skyward Blade,天空之刃,天空之刃,天空の刃,천공의 검,Lame de la Voûte d'Azur,Lama celeste,Небесный меч,Himmelsklinge,Thiên Không Kiếm
$asset.weapon:FreedomSworn,FreedomSworn,11503,UI_EquipIcon_Sword_Widsith,weaponGladiator,Freedom-Sworn,苍古自由之誓,蒼古自由之誓,蒼古なる自由への誓い,오래된 자유의 서약,Serment de la liberté,Giuramento di libertà,Клятва свободы,Blasser Schwur der Freiheit,Lời Thề Tự Do Cổ Xưa
$asset.weapon:SummitShaper,SummitShaper,11504,UI_EquipIcon_Sword_Kunwu,weaponGuyun,Summit Shaper,斫峰之刃,斫峰之刃,斬山の刃,참봉의 칼날,Tranche-sommets,Affettavette,Кромсатель пиков,Gipfelbrecher,Kiếm Chước Phong
$asset.weapon:PrimordialJadeCutter,PrimordialJadeCutter,11505,UI_EquipIcon_Sword_Morax,weaponElixir,Primordial Jade Cutter,磐岩结绿,磐岩結綠,磐岩結緑,반암결록,Coupeur de jade primordial,Spada di giada primordiale,Драгоценный омут,Moosgrüner Fels,Bàn Nham Kết Lục
$asset.weapon:MistsplitterReforged,MistsplitterReforged,11509,UI_EquipIcon_Sword_Narukami,weaponDistantSea,Mistsplitter Reforged,雾切之回光,霧切之回光,霧切の廻光,안개를 가르는 회광,Reflet de tranche-brume,Squarcianebbia riforgiata,Рассекающий туман,Widerschein des Nebelsplitters,Ánh Sáng Đêm Sương Mù
$asset.weapon:HaranGeppakuFutsu,HaranGeppakuFutsu,11510,UI_EquipIcon_Sword_Amenoma,weaponNarukami,Haran Geppaku Futsu,波乱月白经津,波亂月白經津,波乱月白経津,하란 월백의 후츠,Lune ondulante de Futsu,Haran Geppaku Futsu,Харан гэппаку фуцу,Haran Geppaku Futsu,Haran Geppaku Futsu
$asset.weapon:KeyOfKhajNisut,KeyOfKhajNisut,11511,UI_EquipIcon_Sword_Deshret,weaponTalisman,Key of Khaj-Nisut,圣显之钥,聖顯之鑰,聖顕の鍵,성현의 열쇠,Clé de Khaj-Nisut,Chiave del Khaj-Nisut,Ключ Хадж-нисут,Khaj-Nisut-Schlüssel,Chìa Khóa Khaj-Nisut
$asset.weapon:LightOfFoliarIncision,LightOfFoliarIncision,11512,UI_EquipIcon_Sword_Ayus,weaponTalisman,Light of Foliar Incision,裁叶萃光,裁葉萃光,萃光の裁葉,잎을 가르는 빛,Lumière d'incision foliaire,Lume del Taglio frondoso,Свет лиственного разреза,Licht der schneidenden Blätter,Ánh Lá Phán Quyết
$asset.weapon:SplendorOfStillWaters,SplendorOfStillWaters,11513,UI_EquipIcon_Sword_Regalis,weaponDewdrop,Splendor of Still Waters,静水流涌之辉,靜水流湧之輝,静水流転の輝き,조용히 샘솟는 빛,Splendeur des eaux calmes,Fulgore delle placide acque,Блеск тихих вод,Pracht des stillen Wassers,Sắc Nước Lộng Lẫy
$asset.weapon:UrakuMisugiri,UrakuMisugiri,11514,UI_EquipIcon_Sword_Needle,weaponDistantSea,Uraku Misugiri,有乐御簾切,有樂御簾切,有楽御簾切,우라쿠의 미스기리,Uraku Misugiri,Uraku Misugiri,Ураку мисугири,Uraku Misugiri,Uraku Misugiri
$asset.weapon:Absolution,Absolution,11515,UI_EquipIcon_Sword_Estoc,weaponAncientChord,Absolution,赦罪,赦罪,赦罪,사면,Absolution,Assoluzione,Отпущение грехов,Absolution,Xá Tội
$asset.weapon:WasterGreatsword,WasterGreatsword,12101,UI_EquipIcon_Claymore_Aniki,weaponBorealWolf,Waster Greatsword,训练大剑,訓練大劍,訓練用大剣,훈련용 대검,Épée d'entraînement,Spadone dell'incapace,Двуручный меч богатыря,Übungsgroßschwert,Kiếm Huấn Luyện
$asset.weapon:OldMercsPal,OldMercsPal,12201,UI_EquipIcon_Claymore_Oyaji,weaponBorealWolf,Old Merc's Pal,佣兵重剑,傭兵重劍,傭兵の重剣,용병 중검,Lame du mercenaire,Lama del mercenario,Лучший друг наёмника,Söldnerzweihänder,Kiếm Dụng Binh
$asset.weapon:FerrousShadow,FerrousShadow,12301,UI_EquipIcon_Claymore_Glaive,weaponDecarabian,Ferrous Shadow,铁影阔剑,鐵影闊劍,鉄影段平,강철의 그림자,Ombre ferreuse,Ombra di ferro,Металлическая тень,Eiserner Schatten,Kiếm Thiết Ảnh
$asset.weapon:BloodtaintedGreatsword,BloodtaintedGreatsword,12302,UI_EquipIcon_Claymore_Siegfry,weaponBorealWolf,Bloodtainted Greatsword,沐浴龙血的剑,沐浴龍血的劍,龍血を浴びた剣,드래곤 블러드 소드,Épée sanglante,Spadone insanguinato,Меч драконьей крови,Drachenblutschwert,Kiếm Huyết Rồng
$asset.weapon:WhiteIronGreatsword,WhiteIronGreatsword,12303,UI_EquipIcon_Claymore_Tin,weaponGladiator,White Iron Greatsword,白铁大剑,白鐵大劍,白鉄の大剣,백철 대검,Grande épée en fer blanc,Spadone di ferro bianco,Меч из белого железа,Weißes Eisengroßschwert,Kiếm Bạch Thiết
$asset.weapon:DebateClub,DebateClub,12305,UI_EquipIcon_Claymore_Reasoning,weaponElixir,Debate Club,以理服人,以理服人,理屈責め,훌륭한 대화수단,Épée de la raison,Mazza della persuasione,Дубина переговоров,Schlagfestes Argument,Gậy Thu Phục
$asset.weapon:SkyriderGreatsword,SkyriderGreatsword,12306,UI_EquipIcon_Claymore_Mitsurugi,weaponAerosiderite,Skyrider Greatsword,飞天大御剑,飛天大御劍,飛天大御剣,비천대어검,Grande épée céleste,Spadone del Cavalcacieli,Большой меч небесного всадника,Himmelsflug-Großschwert,Đại Kiếm Phi Thiên
$asset.weapon:FavoniusGreatsword,FavoniusGreatsword,12401,UI_EquipIcon_Claymore_Zephyrus,weaponGladiator,Favonius Greatsword,西风大剑,西風大劍,西風大剣,페보니우스 대검,Espadon de Favonius,Spadone di Favonius,Двуручный меч Фавония,Favonius-Großschwert,Đại Kiếm Tây Phong
$asset.weapon:TheBell,TheBell,12402,UI_EquipIcon_Claymore_Troupe,weaponDecarabian,The Bell,钟剑,鐘劍,鐘の剣,시간의 검,Épée-horloge,Spadone del tempo,Меч-колокол,Glocke,Kiếm Chuông
$asset.weapon:SacrificialGreatsword,SacrificialGreatsword,12403,UI_EquipIcon_Claymore_Fossil,weaponBorealWolf,Sacrificial Greatsword,祭礼大剑,祭禮大劍,祭礼の大剣,제례 대검,Espadon rituel,Spadone sacrificale,Церемониальный двуручный меч,Opfergroßschwert,Đại Kiếm Tế Lễ
$asset.weapon:RoyalGreatsword,RoyalGreatsword,12404,UI_EquipIcon_Claymore_Theocrat,weaponGladiator,Royal Greatsword,宗室大剑,宗室大劍,旧貴族大剣,왕실의 대검,Espadon royal,Spadone reale,Королевский двуручный меч,Königliches Großschwert,Đại Kiếm Tông Thất
$asset.weapon:Rainslasher,Rainslasher,12405,UI_EquipIcon_Claymore_Perdue,weaponElixir,Rainslasher,雨裁,雨裁,雨裁,빗물 베기,Fluorescence,Fendiluvio,Дождерез,Regenschnitter,Vũ Tài
$asset.weapon:PrototypeArchaic,PrototypeArchaic,12406,UI_EquipIcon_Claymore_Proto,weaponAerosiderite,Prototype Archaic,试作古华,試作古華,古華·試作,고화 프로토타입,Espadon (prototype),Prototipo arcaico,Прототип: Архаичный,Guhua-Prototyp,Mẫu Cổ Hoa
$asset.weapon:Whiteblind,Whiteblind,12407,UI_EquipIcon_Claymore_Exotic,weaponGuyun,Whiteblind,白影剑,白影劍,白影の剣,백영검,Ombre immaculée,Ombracandida,Белая тень,Weißer Schatten,Kiếm Bạch Ảnh
$asset.weapon:BlackcliffSlasher,BlackcliffSlasher,12408,UI_EquipIcon_Claymore_Blackrock,weaponElixir,Blackcliff Slasher,黑岩斩刀,黑岩斬刀,黒岩の斬刀,흑암참도,Trancheuse de Rochenoire,Grande lama di Rupenera,Черногорская бритва,Schwarzstein-Schneide,Hắc Nham Trảm Đao
$asset.weapon:SerpentSpine,SerpentSpine,12409,UI_EquipIcon_Claymore_Kione,weaponAerosiderite,Serpent Spine,螭骨剑,螭骨劍,螭龍の剣,이무기 검,Ossature du dragon,Spada d'osso di serpente,Меч драконьей кости,Knochenschwert,Kiếm Li Cốt
$asset.weapon:LithicBlade,LithicBlade,12410,UI_EquipIcon_Claymore_Lapis,weaponGuyun,Lithic Blade,千岩古剑,千岩古劍,千岩古剣,천암고검,Épée antique des Millelithes,Lama litica,Каменный меч,Antikes Millelithenschwert,Thiên Nham Cổ Kiếm
$asset.weapon:SnowTombedStarsilver,SnowTombedStarsilver,12411,UI_EquipIcon_Claymore_Dragonfell,weaponDecarabian,Snow-Tombed Starsilver,雪葬的星银,雪葬的星銀,雪葬の星銀,설장의 성은,Tombe-neige en argétoile,Argento astrale delle nevi,Заснеженное звёздное серебро,Unter Schnee begrabenes Sternsilber,Tuyết Vùi Tinh Ngân
$asset.weapon:LuxuriousSeaLord,LuxuriousSeaLord,12412,UI_EquipIcon_Claymore_MillenniaTuna,weaponAerosiderite,Luxurious Sea-Lord,衔珠海皇,銜珠海皇,銜玉の海皇,진주를 문 해황,Illustre seigneur des mers,Sovrano marino,Благодатный владыка вод,Luxuriöser Seekönig,Vua Biển Hàng Hiệu
$asset.weapon:KatsuragikiriNagamasa,KatsuragikiriNagamasa,12414,UI_EquipIcon_Claymore_Bakufu,weaponNarukami,Katsuragikiri Nagamasa,桂木斩长正,桂木斬長正,桂木斬長正,카츠라기를 벤 나가마사,Espadon de Nagamasa,Katsuragikiri Nagamasa,Кацурагикири Нагамаса,Katsuragikiri Nagamasa,Trường Đao Katsuragi
